,#,num_hidden_layers,neurons_per_layer,CANN,embedding_dim,batch_size,epochs,training_loss,testing_loss,bell_dev_data,portfolio_avg,alpha
0,1,3,"(100, 75, 50)",1,3,10000,1000,0.2715822160243988,0.2696550190448761,0.27138993,0.053929033142866414,0.001
1,2,5,"(150, 120, 100, 75, 50)",1,3,100000,1000,0.27302271127700806,0.27069225907325745,0.27278903,0.054285928622076346,0.001
2,3,5,"(150, 120, 100, 75, 50)",1,3,100000,1000,0.27159252762794495,0.2699275612831116,0.27142614,0.05472406903057497,0.001
3,3,3,"(100, 80, 60)",0,1,10000,50,0.2983373701572418,0.29354149103164673,0.4084605,0.007047569130621519,0.1
4,4,3,"(100, 80, 60)",0,1,10000,50,0.28536221385002136,0.28258243203163147,0.401571,0.00842731652284082,0.1
5,5,3,"(100, 80, 60)",0,1,10000,50,0.2953384220600128,0.2908684313297272,0.3956618,0.008471614820932694,0.1
6,6,3,"(100, 80, 60)",0,1,10000,50,0.29594913125038147,0.2904561161994934,0.42638144,0.005809450127045521,0.1
7,7,3,"(100, 80, 60)",0,1,10000,100,0.2970878779888153,0.29097574949264526,0.4430561,0.004875241037885653,0.1
8,8,3,"(100, 80, 60)",0,1,10000,100,0.29714009165763855,0.29212409257888794,0.41402504,0.006633287503028811,0.1
9,9,3,"(100, 80, 60)",0,1,10000,100,0.2961622476577759,0.29071325063705444,0.42000943,0.006253892951696544,0.1
10,10,3,"(100, 80, 60)",0,1,10000,100,0.31383174657821655,0.3102933466434479,0.37842807,0.009890247078494367,0.1
11,11,3,"(100, 80, 60)",0,1,10000,500,0.29769444465637207,0.29175522923469543,0.4251865,0.006056997758580192,0.1
12,12,3,"(100, 80, 60)",0,1,10000,500,0.29593783617019653,0.2904181182384491,0.42706585,0.005767332578472904,0.1
13,13,3,"(100, 80, 60)",0,1,10000,500,0.29611077904701233,0.2907595932483673,0.42264876,0.006045366466363227,0.1
14,14,3,"(100, 80, 60)",0,1,10000,500,0.30115026235580444,0.2962408661842346,0.40537137,0.00771190375387312,0.1
15,15,3,"(100, 80, 60)",0,1,100000,50,0.29593682289123535,0.2904186546802521,0.42701238,0.005770795681461587,0.1
16,16,3,"(100, 80, 60)",0,1,100000,50,0.29566657543182373,0.2901013195514679,0.42810598,0.0057048669152920195,0.1
17,17,3,"(100, 80, 60)",0,1,100000,50,0.29565563797950745,0.29018133878707886,0.42616054,0.00582790624001388,0.1
18,18,3,"(100, 80, 60)",0,1,100000,50,0.2959286570549011,0.2904128432273865,0.42718944,0.0057598651032188565,0.1
19,19,3,"(100, 80, 60)",0,1,100000,100,0.29592621326446533,0.29038140177726746,0.427774,0.005723885127227436,0.1
20,20,3,"(100, 80, 60)",0,1,100000,100,0.2958890199661255,0.2904242277145386,0.42624772,0.005823485151469056,0.1
21,21,3,"(100, 80, 60)",0,1,100000,100,0.2952527105808258,0.2898320257663727,0.4274667,0.005793879355756418,0.1
22,22,3,"(100, 80, 60)",0,1,100000,100,0.29578790068626404,0.2902531325817108,0.42713487,0.005762542003797642,0.1
23,23,3,"(100, 80, 60)",0,1,100000,500,0.29592084884643555,0.290306955575943,0.4292898,0.005632208618732812,0.1
24,24,3,"(100, 80, 60)",0,1,100000,500,0.295928955078125,0.2903798818588257,0.42786548,0.00571857170170405,0.1
25,25,3,"(100, 80, 60)",0,1,100000,500,0.2951337695121765,0.2890956997871399,0.43484762,0.005311051238769427,0.1
26,26,3,"(100, 80, 60)",0,1,100000,500,0.29597988724708557,0.2905287742614746,0.42529237,0.005877213819588972,0.1
27,27,3,"(100, 80, 60)",0,1,600000,50,0.2961225211620331,0.2904673218727112,0.43202725,0.005488047582437466,0.1
28,28,3,"(100, 80, 60)",0,1,600000,50,0.2960954010486603,0.2907373905181885,0.42285985,0.006031659000848835,0.1
29,29,3,"(100, 80, 60)",0,1,600000,50,0.3004630208015442,0.29378482699394226,0.45855194,0.004153232137363072,0.1
30,30,3,"(100, 80, 60)",0,1,600000,50,0.29517504572868347,0.28976675868034363,0.42434403,0.005936086127507159,0.1
31,31,3,"(100, 80, 60)",0,1,600000,100,0.2962888181209564,0.29098567366600037,0.42279872,0.006058365186803769,0.1
32,32,3,"(100, 80, 60)",0,1,600000,100,0.2961493134498596,0.29071176052093506,0.42665023,0.005820479954512683,0.1
