Model,Test Deviance,Log-Lik,AIC,BIC,Portfolio Avg
Poisson GLM,0.3171085987319421,-14143.110564593402,28304.221129186804,28386.340119194545,0.05524085449753402
Bell GLM,0.28359761728566724,-14116.024289119208,28250.048578238417,28332.167568246157,0.05604265763540281
NegBin GLM,0.2760707619674101,-13947.056970953407,27914.113941906813,28005.357264137634,0.0541441073076178
ZIP GLM,0.3116451962243185,-13936.408735683734,27912.817471367467,28095.304115829113,0.054050891118683976
ZINB GLM,0.28179915463035954,-13925.67358376563,27893.34716753126,28084.958144215987,0.05411887938664061
ZI-Bell GLM,0.27914965115990553,-13976.07255261303,27990.14510522606,28163.50741746462,0.054960636061467505
Poisson NN,0.30145785887539595,-13612.542658086559,114253.08531617312,511289.27767137426,0.050454238649262476
Bell NN,0.26917482336656,-13627.084363864515,114282.16872772903,511318.3610829302,0.05158494901581351
NegBin NN,0.26619213454346885,-13612.166561968086,114252.33312393617,511288.5254791373,0.05262288380416709
Poisson CANN,0.3024752606466517,-13647.033086833017,114322.06617366604,511358.2585288672,0.05318862053682652
Bell CANN,0.26992580998500154,-13652.543185722994,114333.08637144598,511369.27872664714,0.05309351594653761
NegBin CANN,0.2668564819243415,-13634.68827035336,114297.37654070673,511333.5688959079,0.05310784363797022
ZIP-NN,0.3019013328585619,-13608.285576213737,114342.57115242747,511825.8557865597,0.05198894971974121
ZINB-NN,0.2734175925787113,-13647.911305113848,114421.8226102277,511905.1072443599,0.052535380267511374
ZI-Bell-NN,0.2691597377616147,-13627.057485047962,114380.11497009592,511863.39960422815,0.052679119986408576
ZIP-CANN,0.3022544201961009,-13611.133013679151,114348.2660273583,511831.55066149053,0.051133618910860656
ZINB-CANN,0.28287123481692067,-13970.608048240767,115067.21609648154,512550.50073061377,0.05304246434714961
ZI-Bell-CANN,0.28326601181866706,-14106.961009406616,115339.92201881323,512823.2066529455,0.05331022106438891
