Model,Test Deviance,Log-Lik,AIC,BIC,Portfolio Avg,Params
Poisson GLM,0.3171085987319421,-14143.1105645934,28304.2211291868,28386.34011919454,0.05524085449753402,
Bell GLM,0.28359761728566724,-14116.024289119208,28250.048578238417,28332.167568246157,0.05604265763540281,
NegBin GLM,0.27607076196741004,-13947.056970953407,27914.113941906813,28005.357264137634,0.0541441073076178,
ZIP GLM,0.31164519622431847,-13936.408735683737,27912.817471367474,28095.30411582912,0.054050891118683976,
ZINB GLM,0.2817991546303596,-13925.673583765629,27893.347167531258,28084.958144215983,0.05411887938664061,
ZI-Bell GLM,0.27914965115990553,-13976.072552613032,27990.145105226064,28163.507417464625,0.05496063606146751,
Poisson NN,0.3027895849194819,-13657.688836844098,154675.3776736882,735712.8536395661,0.051331344715861725,63680.0
Bell NN,0.26914411126044574,-13626.043208111185,249412.08641622236,1262942.9097561992,0.05416971256763791,111080.0
NegBin NN,0.266797076228787,-13632.67438757121,69925.34877514243,264547.3550934869,0.054095190612320154,21330.0
Poisson CANN,0.302069179183363,-13633.266722186796,177062.53344437358,860456.7682887883,0.053136239406736306,74898.0
Bell CANN,0.26892576777165494,-13618.641254669436,225765.28250933887,1131482.9963013756,0.0531604461296843,99264.0
NegBin CANN,0.26755063649649746,-13658.220457426729,61758.44091485346,218888.56612855295,0.05314315446190499,17221.0
ZIP-NN,0.30210965166698306,-13611.49525191296,164848.99050382592,792721.6637707851,0.053631505328010746,68813.0
ZINB-NN,0.27262156554017075,-13608.35246526666,124990.70493053332,571051.9343203554,0.05263263588142351,48887.0
ZI-Bell-NN,0.2697018652110542,-13645.157598894588,338144.31519778917,1756311.8996347946,0.0528123109690766,155427.0
ZIP-CANN,0.3015639832476449,-13591.934399544672,348099.86879908934,1812171.9686504218,0.05115153195741374,160458.0
ZINB-CANN,0.272441549891684,-13608.781553084398,348133.5631061688,1812205.6629575011,0.05072349281412183,160458.0
ZI-Bell-CANN,0.26838746682134484,-13600.816106416694,861911.6322128334,4669997.307177328,0.05081785081856947,417355.0
