Model,Mean CV Dev,Std CV Dev,Test Dev
Poisson NN,0.3065106728983985,0.001852921100294053,0.30288124262472976
Bell NN,0.2728451772878949,0.001490178317384185,0.2692437063096774
NegBin NN,0.2697043785922469,0.001520394180333493,0.2660440933211411
Poisson CANN,0.30657625948912404,0.0015384816259733033,0.302051664077588
Bell CANN,0.27258513394703143,0.0015098295045628757,0.26918417733419786
NegBin CANN,0.2704916487222607,0.0015557388081980236,0.2678515000663408
ZIP-NN,0.3066894936599456,0.0019052464981779962,0.3023903602997095
ZINB-NN,0.2764061510873675,0.0016640005959938668,0.27266325700714716
ZI-Bell-NN,0.27337515972947923,0.0012611657195362826,0.26963043537363046
ZIP-CANN,0.30670527561604877,0.0017648867697911666,0.30189192665659126
ZINB-CANN,0.27611705417288046,0.001541556653641119,0.2725631129325781
ZI-Bell-CANN,0.27246737181505243,0.0015806922122497652,0.2686983352060584
