number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_embedding_dim,params_first_neurons,params_learning_rate,params_n_layers,params_shrink_factor,user_attrs_architecture,user_attrs_test_deviance,state
0,0.26984638522830434,2026-03-04 10:49:47.317262,2026-03-04 10:50:21.810328,0 days 00:00:34.493066,selu,5000,3,64,0.004484412043027275,6,0.5486276483132457,"[64, 35, 19, 16, 16, 16]",0.26984638522830434,COMPLETE
1,0.2719111180638838,2026-03-04 10:50:21.812343,2026-03-04 10:51:40.244106,0 days 00:01:18.431763,selu,5000,1,256,0.004289923003616054,3,0.8246732596357293,"[256, 211, 174]",0.2719111180638838,COMPLETE
2,0.27154227407009823,2026-03-04 10:51:40.245759,2026-03-04 10:54:43.356658,0 days 00:03:03.110899,relu,5000,4,64,0.00010727782071330203,4,0.6009705413779362,"[64, 38, 23, 16]",0.27154227407009823,COMPLETE
3,0.27064786003822267,2026-03-04 10:54:43.358273,2026-03-04 10:55:38.253113,0 days 00:00:54.894840,tanh,50000,3,64,0.0030546353840421136,6,0.8562183778914016,"[64, 54, 46, 40, 34, 29]",0.27064786003822267,COMPLETE
4,0.27182690952378663,2026-03-04 10:55:38.254881,2026-03-04 10:56:11.898108,0 days 00:00:33.643227,relu,50000,4,112,0.005884459619693207,4,0.8409580351365226,"[112, 94, 79, 66]",0.27182690952378663,COMPLETE
5,0.27026123665032586,2026-03-04 10:56:11.899901,2026-03-04 10:57:24.300846,0 days 00:01:12.400945,selu,5000,3,160,0.0018192138393488236,3,0.6505009817189452,"[160, 104, 67]",0.27026123665032586,COMPLETE
6,0.27022125217746584,2026-03-04 10:57:24.302307,2026-03-04 10:57:54.023791,0 days 00:00:29.721484,tanh,5000,1,112,0.00857470897367499,3,0.5986143524814198,"[112, 67, 40]",0.27022125217746584,COMPLETE
7,0.2712727773103457,2026-03-04 10:57:54.025360,2026-03-04 10:59:02.056296,0 days 00:01:08.030936,relu,50000,4,80,0.0006166970394263135,5,0.711214089327219,"[80, 56, 40, 28, 20]",0.2712727773103457,COMPLETE
8,0.2709890883011098,2026-03-04 10:59:02.057768,2026-03-04 10:59:35.213351,0 days 00:00:33.155583,relu,10000,2,80,0.0020791227974509374,4,0.6250561191502972,"[80, 50, 31, 19]",0.2709890883011098,COMPLETE
9,0.27018838776695675,2026-03-04 10:59:35.214794,2026-03-04 11:00:52.404013,0 days 00:01:17.189219,tanh,50000,4,128,0.0017809327302469719,5,0.7790939630051824,"[128, 99, 77, 60, 47]",0.27018838776695675,COMPLETE
