number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout_rate,params_embedding_dim,params_first_neurons,params_learning_rate,params_n_layers,params_shrink_factor,params_use_l2,user_attrs_architecture,user_attrs_test_deviance,state
0,0.2739931119384351,2026-03-20 09:22:07.471627,2026-03-20 09:22:39.814759,0 days 00:00:32.343132,selu,10000,0.06276063663515687,3,48,0.007045120360898847,7,0.4668630164307128,True,"[48, 22, 16, 16, 16, 16, 16]",0.2739931119384351,COMPLETE
1,0.2711688532007423,2026-03-20 09:22:39.815955,2026-03-20 09:23:32.049467,0 days 00:00:52.233512,tanh,50000,0.11184961388697695,2,272,0.013963168813379378,3,0.5507405608729345,False,"[272, 149, 82]",0.2711688532007423,COMPLETE
2,0.27904177289741067,2026-03-20 09:23:32.050497,2026-03-20 09:24:09.102440,0 days 00:00:37.051943,tanh,10000,0.17307044982000985,1,64,0.010372281847037146,6,0.6100688947187105,True,"[64, 39, 23, 16, 16, 16]",0.27904177289741067,COMPLETE
3,0.2790511443242789,2026-03-20 09:24:09.103531,2026-03-20 09:25:02.935747,0 days 00:00:53.832216,tanh,10000,0.17965768376272415,2,256,0.00825948862141612,5,0.5378823760261178,True,"[256, 137, 74, 39, 21]",0.2790511443242789,COMPLETE
4,0.2742451982425801,2026-03-20 09:25:02.937075,2026-03-20 09:26:34.573597,0 days 00:01:31.636522,relu,50000,0.11632988409798922,3,144,0.00011749640458500633,5,0.7260429705367376,True,"[144, 104, 75, 55, 40]",0.2742451982425801,COMPLETE
5,0.2689401074873089,2026-03-20 09:26:34.574975,2026-03-20 09:27:48.679561,0 days 00:01:14.104586,selu,10000,0.02653805190086723,3,320,0.0003843021147500349,7,0.7288855263809064,False,"[320, 233, 170, 123, 90, 65, 47]",0.2689401074873089,COMPLETE
6,0.2885795533657074,2026-03-20 09:27:48.680666,2026-03-20 09:28:09.999763,0 days 00:00:21.319097,selu,100000,0.19768202106785907,3,128,0.0002959682667433826,6,0.7487201756292513,False,,,PRUNED
7,0.2788175642490387,2026-03-20 09:28:10.000933,2026-03-20 09:28:52.747782,0 days 00:00:42.746849,relu,100000,0.05000823935965743,3,208,0.008624787020628596,6,0.5699501916884212,False,,,PRUNED
8,0.2708701191996725,2026-03-20 09:28:52.749123,2026-03-20 09:29:44.189245,0 days 00:00:51.440122,relu,50000,0.0004197069357131489,2,192,0.003239098534973118,4,0.5495069670473347,False,"[192, 105, 57, 31]",0.2708701191996725,COMPLETE
9,0.33930400013923645,2026-03-20 09:29:44.190689,2026-03-20 09:30:03.166626,0 days 00:00:18.975937,selu,100000,0.2972678408774481,4,64,5.861931694107775e-05,5,0.5504596060150924,False,,,PRUNED
10,0.2780236601829529,2026-03-20 09:30:03.167765,2026-03-20 09:30:35.118710,0 days 00:00:31.950945,selu,10000,0.2674457625243737,4,320,0.0009624171885671726,7,0.9216831733002959,False,,,PRUNED
11,0.27826642990112305,2026-03-20 09:30:35.119891,2026-03-20 09:31:06.396481,0 days 00:00:31.276590,relu,50000,0.007202891694501206,1,320,0.0015853969190530635,3,0.8297671399053657,False,,,PRUNED
12,0.27094929993233885,2026-03-20 09:31:06.397670,2026-03-20 09:32:03.723525,0 days 00:00:57.325855,relu,50000,0.0005132457217086571,2,208,0.0017512659073681892,4,0.6629905623863829,False,"[208, 137, 91, 60]",0.27094929993233885,COMPLETE
13,0.28151461482048035,2026-03-20 09:32:03.724860,2026-03-20 09:32:23.874145,0 days 00:00:20.149285,selu,10000,0.058464351157319724,2,256,0.0005333925321972837,4,0.4402754824912555,False,,,PRUNED
14,0.2705657234841435,2026-03-20 09:32:23.875327,2026-03-20 09:33:18.607719,0 days 00:00:54.732392,relu,50000,0.032625764168423735,1,144,0.0031619741481135203,4,0.7952782562777159,False,"[144, 114, 91, 72]",0.2705657234841435,COMPLETE
15,0.28680890798568726,2026-03-20 09:33:18.609157,2026-03-20 09:34:07.150034,0 days 00:00:48.540877,relu,50000,0.09815811024113189,1,160,0.00026334715938426955,7,0.8085638628156063,False,,,PRUNED
