number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_embedding_dim,params_first_neurons,params_learning_rate,params_n_layers,params_shrink_factor,user_attrs_architecture,user_attrs_test_deviance,state
0,0.26970671797308216,2026-03-09 14:07:23.147380,2026-03-09 14:08:48.504983,0 days 00:01:25.357603,selu,5000,3,64,0.004484412043027275,6,0.5486276483132457,"[64, 35, 19, 16, 16, 16]",0.26970671797308216,COMPLETE
1,0.27803467768336726,2026-03-09 14:08:48.506982,2026-03-09 14:09:19.125122,0 days 00:00:30.618140,selu,5000,1,256,0.004289923003616054,3,0.8246732596357293,"[256, 211, 174]",0.27803467768336726,COMPLETE
2,0.2708988537999983,2026-03-09 14:09:19.126360,2026-03-09 14:15:24.264167,0 days 00:06:05.137807,relu,5000,4,64,0.00010727782071330203,4,0.6009705413779362,"[64, 38, 23, 16]",0.2708988537999983,COMPLETE
3,0.2904554479836387,2026-03-09 14:15:24.266602,2026-03-09 14:15:34.641040,0 days 00:00:10.374438,tanh,50000,3,64,0.0030546353840421136,6,0.8562183778914016,"[64, 54, 46, 40, 34, 29]",0.2904554479836387,COMPLETE
4,0.2724831321495874,2026-03-09 14:15:34.641040,2026-03-09 14:15:57.121092,0 days 00:00:22.480052,relu,50000,4,112,0.005884459619693207,4,0.8409580351365226,"[112, 94, 79, 66]",0.2724831321495874,COMPLETE
5,0.2696451231281843,2026-03-09 14:15:57.122094,2026-03-09 14:17:21.588927,0 days 00:01:24.466833,selu,5000,3,160,0.0018192138393488236,3,0.6505009817189452,"[160, 104, 67]",0.2696451231281843,COMPLETE
6,0.27036160167196865,2026-03-09 14:17:21.591070,2026-03-09 14:18:47.606932,0 days 00:01:26.015862,tanh,5000,1,112,0.00857470897367499,3,0.5986143524814198,"[112, 67, 40]",0.27036160167196865,COMPLETE
7,0.2706648715363514,2026-03-09 14:18:47.606932,2026-03-09 14:19:36.204143,0 days 00:00:48.597211,relu,50000,4,80,0.0006166970394263135,5,0.711214089327219,"[80, 56, 40, 28, 20]",0.2706648715363514,COMPLETE
8,0.26986993742943316,2026-03-09 14:19:36.206145,2026-03-09 14:20:22.371661,0 days 00:00:46.165516,relu,10000,2,80,0.0020791227974509374,4,0.6250561191502972,"[80, 50, 31, 19]",0.26986993742943316,COMPLETE
9,0.2700507303516336,2026-03-09 14:20:22.372661,2026-03-09 14:20:56.327255,0 days 00:00:33.954594,tanh,50000,4,128,0.0017809327302469719,5,0.7790939630051824,"[128, 99, 77, 60, 47]",0.2700507303516336,COMPLETE
10,0.2694130148450614,2026-03-09 14:20:56.328251,2026-03-09 14:22:59.823883,0 days 00:02:03.495632,selu,10000,2,208,0.0007055532988587876,3,0.7077409808743814,"[208, 147, 104]",0.2694130148450614,COMPLETE
11,0.26966929583245486,2026-03-09 14:22:59.825883,2026-03-09 14:25:02.350463,0 days 00:02:02.524580,selu,10000,2,208,0.0005791927082574223,3,0.6994528063015573,"[208, 145, 101]",0.26966929583245486,COMPLETE
12,0.27019526566368357,2026-03-09 14:25:02.353094,2026-03-09 14:28:11.628334,0 days 00:03:09.275240,selu,10000,2,192,0.0002570557972991685,3,0.6952417027907125,"[192, 133, 92]",0.27019526566368357,COMPLETE
13,0.269679218461745,2026-03-09 14:28:11.630336,2026-03-09 14:29:44.618567,0 days 00:01:32.988231,selu,10000,3,176,0.0011151084716836826,3,0.6679448426199522,"[176, 117, 78]",0.269679218461745,COMPLETE
14,0.26966546007279024,2026-03-09 14:29:44.620568,2026-03-09 14:32:13.143248,0 days 00:02:28.522680,selu,5000,2,224,0.00039268805744283904,4,0.5007612380388379,"[224, 112, 56, 28]",0.26966546007279024,COMPLETE
15,0.2695963521228646,2026-03-09 14:32:13.143248,2026-03-09 14:33:46.505567,0 days 00:01:33.362319,selu,10000,3,144,0.0011566675301265847,3,0.7659802348299656,"[144, 110, 84]",0.2695963521228646,COMPLETE
16,0.26971917341302665,2026-03-09 14:33:46.506566,2026-03-09 14:36:20.814161,0 days 00:02:34.307595,selu,10000,1,144,0.000201486989569778,5,0.7617984146370675,"[144, 109, 83, 63, 48]",0.26971917341302665,COMPLETE
17,0.2691156829205552,2026-03-09 14:36:20.816166,2026-03-09 14:37:53.680587,0 days 00:01:32.864421,selu,10000,2,240,0.000962002391563943,4,0.7518992699613637,"[240, 180, 135, 102]",0.2691156829205552,COMPLETE
18,0.26922952447363463,2026-03-09 14:37:53.682684,2026-03-09 14:39:14.248529,0 days 00:01:20.565845,selu,10000,2,256,0.0007297008119020028,4,0.8032593811330373,"[256, 205, 165, 132]",0.26922952447363463,COMPLETE
19,0.26948048596694796,2026-03-09 14:39:14.250113,2026-03-09 14:40:41.257617,0 days 00:01:27.007504,tanh,10000,1,256,0.0003666907345475152,4,0.8991323970179566,"[256, 230, 206, 186]",0.26948048596694796,COMPLETE
20,0.26867030550232746,2026-03-09 14:40:41.257617,2026-03-09 14:42:00.732286,0 days 00:01:19.474669,selu,10000,2,240,0.0009675335505252468,5,0.8039327617975071,"[240, 192, 155, 124, 100]",0.26867030550232746,COMPLETE
21,0.2688932596186677,2026-03-09 14:42:00.734139,2026-03-09 14:43:27.158157,0 days 00:01:26.424018,selu,10000,2,240,0.0009373873734759711,5,0.8029293396916415,"[240, 192, 154, 124, 99]",0.2688932596186677,COMPLETE
22,0.269353206617691,2026-03-09 14:43:27.160372,2026-03-09 14:44:26.320742,0 days 00:00:59.160370,selu,10000,2,224,0.0012807261479556055,5,0.7425449740928245,"[224, 166, 123, 91, 68]",0.269353206617691,COMPLETE
23,0.26912996166711994,2026-03-09 14:44:26.323029,2026-03-09 14:45:44.938025,0 days 00:01:18.614996,selu,10000,2,240,0.0008804402454375735,5,0.8769444588676536,"[240, 210, 184, 161, 141]",0.26912996166711994,COMPLETE
24,0.2695028552409503,2026-03-09 14:45:44.939531,2026-03-09 14:47:15.223437,0 days 00:01:30.283906,selu,10000,1,224,0.0004405337856289892,6,0.8064767333907477,"[224, 180, 145, 117, 94, 76]",0.2695028552409503,COMPLETE
