number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_embedding_dim,params_first_neurons,params_learning_rate,params_n_layers,params_shrink_factor,user_attrs_architecture,user_attrs_test_deviance,state
0,0.2673058942543046,2026-03-09 16:18:52.265965,2026-03-09 16:19:59.813819,0 days 00:01:07.547854,selu,5000,3,64,0.004484412043027275,6,0.5486276483132457,"[64, 35, 19, 16, 16, 16]",0.2673058942543046,COMPLETE
1,0.269340522201515,2026-03-09 16:19:59.814818,2026-03-09 16:20:43.793484,0 days 00:00:43.978666,selu,5000,1,256,0.004289923003616054,3,0.8246732596357293,"[256, 211, 174]",0.269340522201515,COMPLETE
2,0.26907778469919474,2026-03-09 16:20:43.795486,2026-03-09 16:24:53.191445,0 days 00:04:09.395959,relu,5000,4,64,0.00010727782071330203,4,0.6009705413779362,"[64, 38, 23, 16]",0.26907778469919474,COMPLETE
3,0.26831767957586844,2026-03-09 16:24:53.192447,2026-03-09 16:25:16.631080,0 days 00:00:23.438633,tanh,50000,3,64,0.0030546353840421136,6,0.8562183778914016,"[64, 54, 46, 40, 34, 29]",0.26831767957586844,COMPLETE
4,0.26977076605437356,2026-03-09 16:25:16.633082,2026-03-09 16:25:32.231117,0 days 00:00:15.598035,relu,50000,4,112,0.005884459619693207,4,0.8409580351365226,"[112, 94, 79, 66]",0.26977076605437356,COMPLETE
5,0.2677085222401561,2026-03-09 16:25:32.232122,2026-03-09 16:26:16.084753,0 days 00:00:43.852631,selu,5000,3,160,0.0018192138393488236,3,0.6505009817189452,"[160, 104, 67]",0.2677085222401561,COMPLETE
6,0.26693037715131473,2026-03-09 16:26:16.086753,2026-03-09 16:26:59.149856,0 days 00:00:43.063103,tanh,5000,1,112,0.00857470897367499,3,0.5986143524814198,"[112, 67, 40]",0.26693037715131473,COMPLETE
7,0.2691996158575906,2026-03-09 16:26:59.151256,2026-03-09 16:27:21.325981,0 days 00:00:22.174725,relu,50000,4,80,0.0006166970394263135,5,0.711214089327219,"[80, 56, 40, 28, 20]",0.2691996158575906,COMPLETE
8,0.26832555277910136,2026-03-09 16:27:21.327216,2026-03-09 16:27:58.444089,0 days 00:00:37.116873,relu,10000,2,80,0.0020791227974509374,4,0.6250561191502972,"[80, 50, 31, 19]",0.26832555277910136,COMPLETE
9,0.26769892176862037,2026-03-09 16:27:58.446476,2026-03-09 16:28:20.579785,0 days 00:00:22.133309,tanh,50000,4,128,0.0017809327302469719,5,0.7790939630051824,"[128, 99, 77, 60, 47]",0.26769892176862037,COMPLETE
10,0.2678287373881252,2026-03-09 16:28:20.581089,2026-03-09 16:28:46.322535,0 days 00:00:25.741446,tanh,10000,1,208,0.00961718847618181,3,0.52487341356316,"[208, 109, 57]",0.2678287373881252,COMPLETE
11,0.2670996039676793,2026-03-09 16:28:46.323463,2026-03-09 16:30:26.339004,0 days 00:01:40.015541,selu,5000,2,128,0.0005773047677414507,6,0.5098174465978577,"[128, 65, 33, 16, 16, 16]",0.2670996039676793,COMPLETE
12,0.2674174241040701,2026-03-09 16:30:26.340388,2026-03-09 16:31:58.405505,0 days 00:01:32.065117,selu,5000,2,144,0.0005583996266676037,5,0.5002711979084187,"[144, 72, 36, 18, 16]",0.2674174241040701,COMPLETE
13,0.27614192109945906,2026-03-09 16:31:58.407279,2026-03-09 16:32:24.615039,0 days 00:00:26.207760,tanh,5000,1,192,0.00025054873324179737,6,0.5728372589085703,"[192, 109, 63, 36, 20, 16]",0.27614192109945906,COMPLETE
14,0.2665386323752136,2026-03-09 16:32:24.615979,2026-03-09 16:33:56.271240,0 days 00:01:31.655261,selu,5000,2,112,0.0009388802776974618,5,0.6917233857113714,"[112, 77, 53, 37, 25]",0.2665386323752136,COMPLETE
15,0.26687495301453845,2026-03-09 16:33:56.273415,2026-03-09 16:34:59.662840,0 days 00:01:03.389425,tanh,5000,1,112,0.0011562932039402706,4,0.7005116896980151,"[112, 78, 54, 38]",0.26687495301453845,COMPLETE
16,0.26692098093894556,2026-03-09 16:34:59.664014,2026-03-09 16:35:47.419017,0 days 00:00:47.755003,tanh,10000,2,192,0.0009904775117895329,4,0.707422940936363,"[192, 135, 96, 67]",0.26692098093894556,COMPLETE
17,0.26782959313962207,2026-03-09 16:35:47.420018,2026-03-09 16:38:04.744571,0 days 00:02:17.324553,selu,5000,1,96,0.00028934549825465166,5,0.7583747819888144,"[96, 72, 55, 41, 31]",0.26782959313962207,COMPLETE
18,0.26719639711841814,2026-03-09 16:38:04.744571,2026-03-09 16:39:05.596630,0 days 00:01:00.852059,tanh,5000,2,160,0.0010751886978654494,4,0.6549526204878237,"[160, 104, 68, 44]",0.26719639711841814,COMPLETE
19,0.26704671552041137,2026-03-09 16:39:05.597136,2026-03-09 16:39:57.530549,0 days 00:00:51.933413,selu,10000,1,96,0.0010573535035047878,5,0.8956179392020372,"[96, 85, 77, 68, 61]",0.26704671552041137,COMPLETE
20,0.26767307278746283,2026-03-09 16:39:57.531178,2026-03-09 16:41:33.713431,0 days 00:01:36.182253,selu,5000,2,128,0.00031723785644363655,5,0.7434739766790538,"[128, 95, 70, 52, 39]",0.26767307278746283,COMPLETE
21,0.2667555603015315,2026-03-09 16:41:33.714073,2026-03-09 16:42:23.651298,0 days 00:00:49.937225,tanh,10000,2,192,0.0008467877811696445,4,0.7081740509262097,"[192, 135, 96, 68]",0.2667555603015315,COMPLETE
22,0.26704719552374273,2026-03-09 16:42:23.653299,2026-03-09 16:43:27.757425,0 days 00:01:04.104126,tanh,10000,3,224,0.000812583801501171,4,0.6773860904231449,"[224, 151, 102, 69]",0.26704719552374273,COMPLETE
23,0.26713955148309004,2026-03-09 16:43:27.758880,2026-03-09 16:44:01.450592,0 days 00:00:33.691712,tanh,10000,2,160,0.0015070043894730451,4,0.7341271328334155,"[160, 117, 86, 63]",0.26713955148309004,COMPLETE
24,0.26740876028535915,2026-03-09 16:44:01.453098,2026-03-09 16:45:03.154812,0 days 00:01:01.701714,tanh,10000,2,176,0.00039376400683248586,4,0.7844795607161966,"[176, 138, 108, 84]",0.26740876028535915,COMPLETE
