number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_embedding_dim,params_first_neurons,params_learning_rate,params_n_layers,params_shrink_factor,user_attrs_architecture,user_attrs_test_deviance,state
0,0.26712753634920866,2026-03-09 14:47:15.241809,2026-03-09 14:48:00.396216,0 days 00:00:45.154407,selu,5000,3,64,0.004484412043027275,6,0.5486276483132457,"[64, 35, 19, 16, 16, 16]",0.26712753634920866,COMPLETE
1,0.268917931588787,2026-03-09 14:48:00.397225,2026-03-09 14:48:39.768361,0 days 00:00:39.371136,selu,5000,1,256,0.004289923003616054,3,0.8246732596357293,"[256, 211, 174]",0.268917931588787,COMPLETE
2,0.2681415063094056,2026-03-09 14:48:39.770357,2026-03-09 14:51:34.446601,0 days 00:02:54.676244,relu,5000,4,64,0.00010727782071330203,4,0.6009705413779362,"[64, 38, 23, 16]",0.2681415063094056,COMPLETE
3,0.26721688291409673,2026-03-09 14:51:34.447968,2026-03-09 14:52:00.302047,0 days 00:00:25.854079,tanh,50000,3,64,0.0030546353840421136,6,0.8562183778914016,"[64, 54, 46, 40, 34, 29]",0.26721688291409673,COMPLETE
4,0.27430289440127636,2026-03-09 14:52:00.303047,2026-03-09 14:52:11.635781,0 days 00:00:11.332734,relu,50000,4,112,0.005884459619693207,4,0.8409580351365226,"[112, 94, 79, 66]",0.27430289440127636,COMPLETE
5,0.26720929529756,2026-03-09 14:52:11.637779,2026-03-09 14:53:04.450970,0 days 00:00:52.813191,selu,5000,3,160,0.0018192138393488236,3,0.6505009817189452,"[160, 104, 67]",0.26720929529756,COMPLETE
6,0.26694174293027223,2026-03-09 14:53:04.452972,2026-03-09 14:53:44.791265,0 days 00:00:40.338293,tanh,5000,1,112,0.00857470897367499,3,0.5986143524814198,"[112, 67, 40]",0.26694174293027223,COMPLETE
7,0.26810536568315485,2026-03-09 14:53:44.792353,2026-03-09 14:54:16.317015,0 days 00:00:31.524662,relu,50000,4,80,0.0006166970394263135,5,0.711214089327219,"[80, 56, 40, 28, 20]",0.26810536568315485,COMPLETE
8,0.26729407759494345,2026-03-09 14:54:16.318018,2026-03-09 14:54:49.989823,0 days 00:00:33.671805,relu,10000,2,80,0.0020791227974509374,4,0.6250561191502972,"[80, 50, 31, 19]",0.26729407759494345,COMPLETE
9,0.26775759130133425,2026-03-09 14:54:49.990837,2026-03-09 14:55:14.069365,0 days 00:00:24.078528,tanh,50000,4,128,0.0017809327302469719,5,0.7790939630051824,"[128, 99, 77, 60, 47]",0.26775759130133425,COMPLETE
10,0.26754462411668106,2026-03-09 14:55:14.071371,2026-03-09 14:55:43.571031,0 days 00:00:29.499660,tanh,10000,1,208,0.00961718847618181,3,0.52487341356316,"[208, 109, 57]",0.26754462411668106,COMPLETE
11,0.2670520916259849,2026-03-09 14:55:43.572034,2026-03-09 14:57:11.974014,0 days 00:01:28.401980,selu,5000,2,128,0.0005773047677414507,6,0.5098174465978577,"[128, 65, 33, 16, 16, 16]",0.2670520916259849,COMPLETE
12,0.2669961630774175,2026-03-09 14:57:11.975216,2026-03-09 14:58:35.668294,0 days 00:01:23.693078,selu,5000,2,144,0.0005583996266676037,5,0.5002711979084187,"[144, 72, 36, 18, 16]",0.2669961630774175,COMPLETE
