number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_embedding_dim,params_first_neurons,params_learning_rate,params_n_layers,params_shrink_factor,user_attrs_architecture,user_attrs_test_deviance,state
0,0.30241326208787744,2026-03-09 15:15:06.365365,2026-03-09 15:16:38.165688,0 days 00:01:31.800323,selu,5000,3,64,0.004484412043027275,6,0.5486276483132457,"[64, 35, 19, 16, 16, 16]",0.30241326208787744,COMPLETE
1,0.31127074199964583,2026-03-09 15:16:38.166689,2026-03-09 15:16:55.713237,0 days 00:00:17.546548,selu,5000,1,256,0.004289923003616054,3,0.8246732596357293,"[256, 211, 174]",0.31127074199964583,COMPLETE
2,0.30434554869911623,2026-03-09 15:16:55.714716,2026-03-09 15:22:24.460399,0 days 00:05:28.745683,relu,5000,4,64,0.00010727782071330203,4,0.6009705413779362,"[64, 38, 23, 16]",0.30434554869911623,COMPLETE
3,0.30312875128904915,2026-03-09 15:22:24.462666,2026-03-09 15:22:46.450748,0 days 00:00:21.988082,tanh,50000,3,64,0.0030546353840421136,6,0.8562183778914016,"[64, 54, 46, 40, 34, 29]",0.30312875128904915,COMPLETE
4,0.30594668542888903,2026-03-09 15:22:46.452186,2026-03-09 15:22:59.556911,0 days 00:00:13.104725,relu,50000,4,112,0.005884459619693207,4,0.8409580351365226,"[112, 94, 79, 66]",0.30594668542888903,COMPLETE
5,0.3031086945750429,2026-03-09 15:22:59.557930,2026-03-09 15:23:58.031505,0 days 00:00:58.473575,selu,5000,3,160,0.0018192138393488236,3,0.6505009817189452,"[160, 104, 67]",0.3031086945750429,COMPLETE
6,0.3031458681892198,2026-03-09 15:23:58.032720,2026-03-09 15:24:42.873690,0 days 00:00:44.840970,tanh,5000,1,112,0.00857470897367499,3,0.5986143524814198,"[112, 67, 40]",0.3031458681892198,COMPLETE
7,0.30417542683870075,2026-03-09 15:24:42.874685,2026-03-09 15:25:12.290306,0 days 00:00:29.415621,relu,50000,4,80,0.0006166970394263135,5,0.711214089327219,"[80, 56, 40, 28, 20]",0.30417542683870075,COMPLETE
8,0.30363770258487277,2026-03-09 15:25:12.291309,2026-03-09 15:25:50.328438,0 days 00:00:38.037129,relu,10000,2,80,0.0020791227974509374,4,0.6250561191502972,"[80, 50, 31, 19]",0.30363770258487277,COMPLETE
9,0.3027737697706388,2026-03-09 15:25:50.329442,2026-03-09 15:26:13.933209,0 days 00:00:23.603767,tanh,50000,4,128,0.0017809327302469719,5,0.7790939630051824,"[128, 99, 77, 60, 47]",0.3027737697706388,COMPLETE
10,0.30218887046758564,2026-03-09 15:26:13.934210,2026-03-09 15:27:21.689899,0 days 00:01:07.755689,selu,10000,2,208,0.000637413650214716,6,0.5192342337740989,"[208, 108, 56, 29, 16, 16]",0.30218887046758564,COMPLETE
11,0.3021778565300923,2026-03-09 15:27:21.690984,2026-03-09 15:28:30.381860,0 days 00:01:08.690876,selu,10000,2,240,0.0005328635435120163,6,0.5096894946970388,"[240, 122, 62, 31, 16, 16]",0.3021778565300923,COMPLETE
12,0.3034993078736509,2026-03-09 15:28:30.382860,2026-03-09 15:29:14.102876,0 days 00:00:43.720016,selu,10000,2,240,0.000367889508545853,6,0.5001910895063735,"[240, 120, 60, 30, 16, 16]",0.3034993078736509,COMPLETE
13,0.30348560460557683,2026-03-09 15:29:14.103872,2026-03-09 15:30:18.706181,0 days 00:01:04.602309,selu,10000,2,208,0.0002962082454989618,5,0.5062924958466677,"[208, 105, 53, 26, 16]",0.30348560460557683,COMPLETE
14,0.30275464525314133,2026-03-09 15:30:18.707181,2026-03-09 15:31:10.248865,0 days 00:00:51.541684,selu,10000,2,208,0.0007673626454179248,6,0.5555356713421211,"[208, 115, 64, 35, 19, 16]",0.30275464525314133,COMPLETE
15,0.303946995431344,2026-03-09 15:31:10.249869,2026-03-09 15:32:13.070825,0 days 00:01:02.820956,selu,10000,1,208,0.00018659285420787465,5,0.724523098073751,"[208, 150, 109, 79, 57]",0.303946995431344,COMPLETE
16,0.30294447394247004,2026-03-09 15:32:13.072825,2026-03-09 15:32:54.273178,0 days 00:00:41.200353,selu,10000,2,176,0.0010782092647965856,6,0.5591539719695505,"[176, 98, 55, 30, 17, 16]",0.30294447394247004,COMPLETE
17,0.3025433008297801,2026-03-09 15:32:54.274179,2026-03-09 15:33:47.995957,0 days 00:00:53.721778,selu,10000,3,240,0.00043433150840558454,6,0.6820944406398776,"[240, 163, 111, 76, 51, 35]",0.3025433008297801,COMPLETE
18,0.3035118631195333,2026-03-09 15:33:47.998223,2026-03-09 15:34:36.672661,0 days 00:00:48.674438,selu,10000,1,176,0.0010751886978654494,5,0.538207843915708,"[176, 94, 50, 27, 16]",0.3035118631195333,COMPLETE
19,0.30362103790448386,2026-03-09 15:34:36.674692,2026-03-09 15:35:46.582602,0 days 00:01:09.907910,tanh,10000,2,224,0.00019184603315691715,6,0.5890990420602469,"[224, 131, 77, 45, 26, 16]",0.30362103790448386,COMPLETE
20,0.3029303713831437,2026-03-09 15:35:46.584601,2026-03-09 15:36:25.864995,0 days 00:00:39.280394,selu,10000,3,256,0.0005937624607066861,5,0.7752453339002482,"[256, 198, 153, 119, 92]",0.3029303713831437,COMPLETE
21,0.3033973831750523,2026-03-09 15:36:25.866996,2026-03-09 15:37:16.359009,0 days 00:00:50.492013,selu,5000,3,192,0.0012214024961549374,6,0.5287796946636959,"[192, 101, 53, 28, 16, 16]",0.3033973831750523,COMPLETE
22,0.30246379212089336,2026-03-09 15:37:16.361044,2026-03-09 15:38:05.327398,0 days 00:00:48.966354,selu,5000,2,144,0.009833122884689932,6,0.5665002745819868,"[144, 81, 46, 26, 16, 16]",0.30246379212089336,COMPLETE
23,0.3029234703422223,2026-03-09 15:38:05.328400,2026-03-09 15:39:12.962866,0 days 00:01:07.634466,selu,5000,3,224,0.00023583432586428993,6,0.8938063617079266,"[224, 200, 178, 159, 142, 127]",0.3029234703422223,COMPLETE
24,0.3021603557898406,2026-03-09 15:39:12.963864,2026-03-09 15:40:22.181924,0 days 00:01:09.218060,selu,10000,2,176,0.0005174321612869139,6,0.5278840853345832,"[176, 92, 49, 25, 16, 16]",0.3021603557898406,COMPLETE
