number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_embedding_dim,params_first_neurons,params_learning_rate,params_n_layers,params_shrink_factor,user_attrs_architecture,user_attrs_test_deviance,state
0,0.3022576550832821,2026-03-09 13:42:47.552101,2026-03-09 13:43:39.187896,0 days 00:00:51.635795,selu,5000,3,64,0.004484412043027275,6,0.5486276483132457,"[64, 35, 19, 16, 16, 16]",0.3022576550832821,COMPLETE
1,0.3103338525979786,2026-03-09 13:43:39.188895,2026-03-09 13:43:58.430246,0 days 00:00:19.241351,selu,5000,1,256,0.004289923003616054,3,0.8246732596357293,"[256, 211, 174]",0.3103338525979786,COMPLETE
2,0.30368139386746895,2026-03-09 13:43:58.431248,2026-03-09 13:47:18.934012,0 days 00:03:20.502764,relu,5000,4,64,0.00010727782071330203,4,0.6009705413779362,"[64, 38, 23, 16]",0.30368139386746895,COMPLETE
3,0.32403290345694924,2026-03-09 13:47:18.936567,2026-03-09 13:47:28.087110,0 days 00:00:09.150543,tanh,50000,3,64,0.0030546353840421136,6,0.8562183778914016,"[64, 54, 46, 40, 34, 29]",0.32403290345694924,COMPLETE
4,0.30473641027695686,2026-03-09 13:47:28.087110,2026-03-09 13:47:46.300337,0 days 00:00:18.213227,relu,50000,4,112,0.005884459619693207,4,0.8409580351365226,"[112, 94, 79, 66]",0.30473641027695686,COMPLETE
5,0.3026039654743268,2026-03-09 13:47:46.302846,2026-03-09 13:48:45.860841,0 days 00:00:59.557995,selu,5000,3,160,0.0018192138393488236,3,0.6505009817189452,"[160, 104, 67]",0.3026039654743268,COMPLETE
6,0.3024507302888249,2026-03-09 13:48:45.862344,2026-03-09 13:49:41.643896,0 days 00:00:55.781552,tanh,5000,1,112,0.00857470897367499,3,0.5986143524814198,"[112, 67, 40]",0.3024507302888249,COMPLETE
7,0.3033658053695024,2026-03-09 13:49:41.645923,2026-03-09 13:50:18.509113,0 days 00:00:36.863190,relu,50000,4,80,0.0006166970394263135,5,0.711214089327219,"[80, 56, 40, 28, 20]",0.3033658053695024,COMPLETE
8,0.3029152117559275,2026-03-09 13:50:18.511928,2026-03-09 13:50:56.823347,0 days 00:00:38.311419,relu,10000,2,80,0.0020791227974509374,4,0.6250561191502972,"[80, 50, 31, 19]",0.3029152117559275,COMPLETE
9,0.3028403958642437,2026-03-09 13:50:56.825857,2026-03-09 13:51:22.661111,0 days 00:00:25.835254,tanh,50000,4,128,0.0017809327302469719,5,0.7790939630051824,"[128, 99, 77, 60, 47]",0.3028403958642437,COMPLETE
10,0.30238137861083914,2026-03-09 13:51:22.662121,2026-03-09 13:52:28.780883,0 days 00:01:06.118762,selu,10000,2,208,0.000637413650214716,6,0.5192342337740989,"[208, 108, 56, 29, 16, 16]",0.30238137861083914,COMPLETE
11,0.302704803813084,2026-03-09 13:52:28.782882,2026-03-09 13:53:38.106056,0 days 00:01:09.323174,selu,10000,2,240,0.0005328635435120163,6,0.5096894946970388,"[240, 122, 62, 31, 16, 16]",0.302704803813084,COMPLETE
12,0.3033300965737804,2026-03-09 13:53:38.108171,2026-03-09 13:54:45.897953,0 days 00:01:07.789782,selu,10000,2,208,0.00029486712599933914,6,0.5001965832052307,"[208, 104, 52, 26, 16, 16]",0.3033300965737804,COMPLETE
13,0.3021998068339456,2026-03-09 13:54:45.899961,2026-03-09 13:55:50.032720,0 days 00:01:04.132759,selu,10000,3,192,0.0009694996377034819,5,0.536181308079697,"[192, 102, 55, 29, 16]",0.3021998068339456,COMPLETE
14,0.3026268734602976,2026-03-09 13:55:50.033731,2026-03-09 13:56:57.617859,0 days 00:01:07.584128,selu,5000,3,176,0.0011294396111406167,5,0.5576804847328988,"[176, 98, 54, 30, 17]",0.3026268734602976,COMPLETE
15,0.3021645740562404,2026-03-09 13:56:57.618870,2026-03-09 13:58:19.139693,0 days 00:01:21.520823,selu,10000,3,176,0.00025597752304649013,5,0.7245198970118506,"[176, 127, 92, 66, 48]",0.3021645740562404,COMPLETE
