number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout_rate,params_embedding_dim,params_first_neurons,params_learning_rate,params_n_layers,params_shrink_factor,params_use_l2,user_attrs_architecture,user_attrs_test_deviance,state
0,0.2828654176352459,2026-03-20 10:04:49.514910,2026-03-20 10:05:25.641401,0 days 00:00:36.126491,selu,10000,0.06276063663515687,3,48,0.007045120360898847,7,0.4668630164307128,True,"[48, 22, 16, 16, 16, 16, 16]",0.2828654176352459,COMPLETE
1,0.27521604218230733,2026-03-20 10:05:25.642430,2026-03-20 10:05:58.070881,0 days 00:00:32.428451,tanh,50000,0.11184961388697695,2,272,0.013963168813379378,3,0.5507405608729345,False,"[272, 149, 82]",0.27521604218230733,COMPLETE
2,0.28286227069610353,2026-03-20 10:05:58.071901,2026-03-20 10:06:28.487729,0 days 00:00:30.415828,tanh,10000,0.17307044982000985,1,64,0.010372281847037146,6,0.6100688947187105,True,"[64, 39, 23, 16, 16, 16]",0.28286227069610353,COMPLETE
3,0.2828612727339833,2026-03-20 10:06:28.488743,2026-03-20 10:07:00.231784,0 days 00:00:31.743041,tanh,10000,0.17965768376272415,2,256,0.00825948862141612,5,0.5378823760261178,True,"[256, 137, 74, 39, 21]",0.2828612727339833,COMPLETE
4,0.2827074715370031,2026-03-20 10:07:00.232805,2026-03-20 10:08:16.407620,0 days 00:01:16.174815,relu,50000,0.11632988409798922,3,144,0.00011749640458500633,5,0.7260429705367376,True,"[144, 104, 75, 55, 40]",0.2827074715370031,COMPLETE
5,0.2725986778165549,2026-03-20 10:08:16.408884,2026-03-20 10:09:23.443979,0 days 00:01:07.035095,selu,10000,0.02653805190086723,3,320,0.0003843021147500349,7,0.7288855263809064,False,"[320, 233, 170, 123, 90, 65, 47]",0.2725986778165549,COMPLETE
6,0.21331173181533813,2026-03-20 10:09:23.445406,2026-03-20 10:09:48.228567,0 days 00:00:24.783161,selu,100000,0.19768202106785907,3,128,0.0002959682667433826,6,0.7487201756292513,False,,,PRUNED
7,0.21209900081157684,2026-03-20 10:09:48.229729,2026-03-20 10:10:14.935267,0 days 00:00:26.705538,relu,100000,0.05000823935965743,3,208,0.008624787020628596,6,0.5699501916884212,False,,,PRUNED
8,0.27409965130860586,2026-03-20 10:10:14.936446,2026-03-20 10:10:56.286345,0 days 00:00:41.349899,relu,50000,0.0004197069357131489,2,192,0.003239098534973118,4,0.5495069670473347,False,"[192, 105, 57, 31]",0.27409965130860586,COMPLETE
9,0.26990848779678345,2026-03-20 10:10:56.287581,2026-03-20 10:11:17.149323,0 days 00:00:20.861742,selu,100000,0.2972678408774481,4,64,5.861931694107775e-05,5,0.5504596060150924,False,,,PRUNED
