number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_embedding_dim,params_first_neurons,params_learning_rate,params_n_layers,params_shrink_factor,user_attrs_architecture,user_attrs_test_deviance,state
0,0.2735147880865419,2026-03-09 17:10:11.767499,2026-03-09 17:11:03.136204,0 days 00:00:51.368705,selu,5000,3,64,0.004484412043027275,6,0.5486276483132457,"[64, 35, 19, 16, 16, 16]",0.2735147880865419,COMPLETE
1,0.2733304576724809,2026-03-09 17:11:03.137220,2026-03-09 17:12:25.867738,0 days 00:01:22.730518,selu,5000,1,256,0.004289923003616054,3,0.8246732596357293,"[256, 211, 174]",0.2733304576724809,COMPLETE
2,0.27413483965458707,2026-03-09 17:12:25.869324,2026-03-09 17:17:38.387438,0 days 00:05:12.518114,relu,5000,4,64,0.00010727782071330203,4,0.6009705413779362,"[64, 38, 23, 16]",0.27413483965458707,COMPLETE
3,0.27426229319154455,2026-03-09 17:17:38.389644,2026-03-09 17:18:04.881931,0 days 00:00:26.492287,tanh,50000,3,64,0.0030546353840421136,6,0.8562183778914016,"[64, 54, 46, 40, 34, 29]",0.27426229319154455,COMPLETE
4,0.27646428069670986,2026-03-09 17:18:04.883977,2026-03-09 17:18:20.979557,0 days 00:00:16.095580,relu,50000,4,112,0.005884459619693207,4,0.8409580351365226,"[112, 94, 79, 66]",0.27646428069670986,COMPLETE
5,0.2730733146037279,2026-03-09 17:18:20.981561,2026-03-09 17:19:19.144498,0 days 00:00:58.162937,selu,5000,3,160,0.0018192138393488236,3,0.6505009817189452,"[160, 104, 67]",0.2730733146037279,COMPLETE
6,0.27376189174917887,2026-03-09 17:19:19.145496,2026-03-09 17:19:56.923880,0 days 00:00:37.778384,tanh,5000,1,112,0.00857470897367499,3,0.5986143524814198,"[112, 67, 40]",0.27376189174917887,COMPLETE
7,0.27380741880797094,2026-03-09 17:19:56.924894,2026-03-09 17:20:32.752298,0 days 00:00:35.827404,relu,50000,4,80,0.0006166970394263135,5,0.711214089327219,"[80, 56, 40, 28, 20]",0.27380741880797094,COMPLETE
8,0.27340142193921524,2026-03-09 17:20:32.754298,2026-03-09 17:21:08.057184,0 days 00:00:35.302886,relu,10000,2,80,0.0020791227974509374,4,0.6250561191502972,"[80, 50, 31, 19]",0.27340142193921524,COMPLETE
9,0.2943725349526958,2026-03-09 17:21:08.059184,2026-03-09 17:21:21.245424,0 days 00:00:13.186240,tanh,50000,4,128,0.0017809327302469719,5,0.7790939630051824,"[128, 99, 77, 60, 47]",0.2943725349526958,COMPLETE
10,0.27285747124555126,2026-03-09 17:21:21.246425,2026-03-09 17:22:28.709666,0 days 00:01:07.463241,selu,10000,2,208,0.0007055532988587876,3,0.7077409808743814,"[208, 147, 104]",0.27285747124555126,COMPLETE
11,0.2732066958525683,2026-03-09 17:22:28.710668,2026-03-09 17:23:35.214646,0 days 00:01:06.503978,selu,10000,2,208,0.0005791927082574223,3,0.6994528063015573,"[208, 145, 101]",0.2732066958525683,COMPLETE
12,0.27298979628372355,2026-03-09 17:23:35.217616,2026-03-09 17:25:35.700657,0 days 00:02:00.483041,selu,10000,2,192,0.0002570557972991685,3,0.6952417027907125,"[192, 133, 92]",0.27298979628372355,COMPLETE
13,0.2732478847612506,2026-03-09 17:25:35.701691,2026-03-09 17:27:32.063220,0 days 00:01:56.361529,selu,10000,2,208,0.00021748704127521782,3,0.7168353501656487,"[208, 149, 106]",0.2732478847612506,COMPLETE
14,0.2733023640798177,2026-03-09 17:27:32.064228,2026-03-09 17:28:45.632468,0 days 00:01:13.568240,selu,10000,2,208,0.000307349298184236,4,0.7685647318263719,"[208, 159, 122, 94]",0.2733023640798177,COMPLETE
15,0.27337447018478495,2026-03-09 17:28:45.635266,2026-03-09 17:29:54.254581,0 days 00:01:08.619315,selu,10000,1,240,0.00087652307040817,3,0.6721016406142862,"[240, 161, 108]",0.27337447018478495,COMPLETE
16,0.27406256105167276,2026-03-09 17:29:54.256088,2026-03-09 17:31:29.928989,0 days 00:01:35.672901,selu,10000,2,176,0.00023520967006755817,5,0.5097286551328772,"[176, 89, 45, 23, 16]",0.27406256105167276,COMPLETE
17,0.2734893165610769,2026-03-09 17:31:29.929994,2026-03-09 17:32:41.370990,0 days 00:01:11.440996,selu,10000,3,176,0.0003588954721061769,4,0.7539344200238539,"[176, 132, 100, 75]",0.2734893165610769,COMPLETE
18,0.2749215063448498,2026-03-09 17:32:41.372920,2026-03-09 17:34:04.549710,0 days 00:01:23.176790,selu,10000,1,240,0.00011551609315302587,3,0.8032593811330373,"[240, 192, 154]",0.2749215063448498,COMPLETE
19,0.2731626224847157,2026-03-09 17:34:04.550706,2026-03-09 17:35:15.553116,0 days 00:01:11.002410,tanh,10000,2,160,0.0010661400204735496,4,0.8951553445061988,"[160, 143, 128, 114]",0.2731626224847157,COMPLETE
20,0.2742434037385972,2026-03-09 17:35:15.555530,2026-03-09 17:36:40.781955,0 days 00:01:25.226425,selu,10000,3,192,0.00017809998990315248,3,0.7389766548006876,"[192, 141, 104]",0.2742434037385972,COMPLETE
21,0.27298070645950107,2026-03-09 17:36:40.783957,2026-03-09 17:38:17.074429,0 days 00:01:36.290472,selu,5000,3,144,0.001412996292376061,3,0.6447599911429285,"[144, 92, 59]",0.27298070645950107,COMPLETE
22,0.27295409796311765,2026-03-09 17:38:17.076429,2026-03-09 17:39:55.093090,0 days 00:01:38.016661,selu,5000,2,144,0.001015398077446765,3,0.6745597773904777,"[144, 97, 65]",0.27295409796311765,COMPLETE
23,0.2728719495817611,2026-03-09 17:39:55.094111,2026-03-09 17:41:33.016928,0 days 00:01:37.922817,selu,5000,3,144,0.0010733548824905027,3,0.6455281086305428,"[144, 92, 60]",0.2728719495817611,COMPLETE
24,0.2733710741783409,2026-03-09 17:41:33.016928,2026-03-09 17:43:19.550768,0 days 00:01:46.533840,selu,5000,2,128,0.0004910353948098286,4,0.5784800382670534,"[128, 74, 42, 24]",0.2733710741783409,COMPLETE
