number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout_rate,params_embedding_dim,params_first_neurons,params_learning_rate,params_n_layers,params_shrink_factor,params_use_l2,user_attrs_architecture,user_attrs_test_deviance,state
0,0.30708195965474905,2026-03-20 09:46:43.536533,2026-03-20 09:47:29.145522,0 days 00:00:45.608989,selu,10000,0.06276063663515687,3,48,0.007045120360898847,7,0.4668630164307128,True,"[48, 22, 16, 16, 16, 16, 16]",0.30708195965474905,COMPLETE
1,0.3024484061762517,2026-03-20 09:47:29.146929,2026-03-20 09:48:12.558909,0 days 00:00:43.411980,tanh,50000,0.11184961388697695,2,272,0.013963168813379378,3,0.5507405608729345,False,"[272, 149, 82]",0.3024484061762517,COMPLETE
2,0.31470820721536513,2026-03-20 09:48:12.560000,2026-03-20 09:48:42.691528,0 days 00:00:30.131528,tanh,10000,0.17307044982000985,1,64,0.010372281847037146,6,0.6100688947187105,True,"[64, 39, 23, 16, 16, 16]",0.31470820721536513,COMPLETE
3,0.314710656986008,2026-03-20 09:48:42.692796,2026-03-20 09:49:15.574393,0 days 00:00:32.881597,tanh,10000,0.17965768376272415,2,256,0.00825948862141612,5,0.5378823760261178,True,"[256, 137, 74, 39, 21]",0.314710656986008,COMPLETE
4,0.3106081485324055,2026-03-20 09:49:15.575547,2026-03-20 09:50:23.997457,0 days 00:01:08.421910,relu,50000,0.11632988409798922,3,144,0.00011749640458500633,5,0.7260429705367376,True,"[144, 104, 75, 55, 40]",0.3106081485324055,COMPLETE
5,0.3019549497343052,2026-03-20 09:50:23.998590,2026-03-20 09:51:38.217289,0 days 00:01:14.218699,selu,10000,0.02653805190086723,3,320,0.0003843021147500349,7,0.7288855263809064,False,"[320, 233, 170, 123, 90, 65, 47]",0.3019549497343052,COMPLETE
6,0.21450693905353546,2026-03-20 09:51:38.218508,2026-03-20 09:52:03.102333,0 days 00:00:24.883825,selu,100000,0.19768202106785907,3,128,0.0002959682667433826,6,0.7487201756292513,False,,,PRUNED
7,0.21299660205841064,2026-03-20 09:52:03.103626,2026-03-20 09:52:28.555351,0 days 00:00:25.451725,relu,100000,0.05000823935965743,3,208,0.008624787020628596,6,0.5699501916884212,False,,,PRUNED
8,0.3027444035702108,2026-03-20 09:52:28.556538,2026-03-20 09:53:05.770663,0 days 00:00:37.214125,relu,50000,0.0004197069357131489,2,192,0.003239098534973118,4,0.5495069670473347,False,"[192, 105, 57, 31]",0.3027444035702108,COMPLETE
9,0.26043277978897095,2026-03-20 09:53:05.771965,2026-03-20 09:53:24.775200,0 days 00:00:19.003235,selu,100000,0.2972678408774481,4,64,5.861931694107775e-05,5,0.5504596060150924,False,,,PRUNED
10,0.2075449377298355,2026-03-20 09:53:24.776389,2026-03-20 09:53:59.708993,0 days 00:00:34.932604,selu,10000,0.2674457625243737,4,320,0.0009624171885671726,7,0.9216831733002959,False,,,PRUNED
