number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_embedding_dim,params_first_neurons,params_learning_rate,params_n_layers,params_shrink_factor,user_attrs_architecture,user_attrs_test_deviance,state
0,0.3030386407007096,2026-03-09 16:45:03.173588,2026-03-09 16:46:16.420512,0 days 00:01:13.246924,selu,5000,3,64,0.004484412043027275,6,0.5486276483132457,"[64, 35, 19, 16, 16, 16]",0.3030386407007096,COMPLETE
1,0.30938014903328626,2026-03-09 16:46:16.422024,2026-03-09 16:46:41.651336,0 days 00:00:25.229312,selu,5000,1,256,0.004289923003616054,3,0.8246732596357293,"[256, 211, 174]",0.30938014903328626,COMPLETE
2,0.3030106673354154,2026-03-09 16:46:41.652341,2026-03-09 16:51:14.543898,0 days 00:04:32.891557,relu,5000,4,64,0.00010727782071330203,4,0.6009705413779362,"[64, 38, 23, 16]",0.3030106673354154,COMPLETE
3,0.3030083032220174,2026-03-09 16:51:14.546196,2026-03-09 16:51:35.976702,0 days 00:00:21.430506,tanh,50000,3,64,0.0030546353840421136,6,0.8562183778914016,"[64, 54, 46, 40, 34, 29]",0.3030083032220174,COMPLETE
4,0.3063200180964978,2026-03-09 16:51:35.977711,2026-03-09 16:51:50.180822,0 days 00:00:14.203111,relu,50000,4,112,0.005884459619693207,4,0.8409580351365226,"[112, 94, 79, 66]",0.3063200180964978,COMPLETE
5,0.3022425268534372,2026-03-09 16:51:50.182881,2026-03-09 16:53:24.128640,0 days 00:01:33.945759,selu,5000,3,160,0.0018192138393488236,3,0.6505009817189452,"[160, 104, 67]",0.3022425268534372,COMPLETE
6,0.3031397536893838,2026-03-09 16:53:24.129640,2026-03-09 16:54:15.196374,0 days 00:00:51.066734,tanh,5000,1,112,0.00857470897367499,3,0.5986143524814198,"[112, 67, 40]",0.3031397536893838,COMPLETE
7,0.30250427552047526,2026-03-09 16:54:15.197374,2026-03-09 16:54:56.144749,0 days 00:00:40.947375,relu,50000,4,80,0.0006166970394263135,5,0.711214089327219,"[80, 56, 40, 28, 20]",0.30250427552047526,COMPLETE
8,0.30277749920225544,2026-03-09 16:54:56.146750,2026-03-09 16:55:27.067304,0 days 00:00:30.920554,relu,10000,2,80,0.0020791227974509374,4,0.6250561191502972,"[80, 50, 31, 19]",0.30277749920225544,COMPLETE
9,0.30334288160167266,2026-03-09 16:55:27.069305,2026-03-09 16:55:54.408296,0 days 00:00:27.338991,tanh,50000,4,128,0.0017809327302469719,5,0.7790939630051824,"[128, 99, 77, 60, 47]",0.30334288160167266,COMPLETE
