number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_embedding_dim,params_first_neurons,params_learning_rate,params_n_layers,params_shrink_factor,user_attrs_architecture,user_attrs_test_deviance,state
0,0.2705731573019318,2026-03-04 11:52:59.373886,2026-03-04 11:54:00.292660,0 days 00:01:00.918774,selu,5000,3,64,0.004484412043027275,6,0.5486276483132457,"[64, 35, 19, 16, 16, 16]",0.2705731573019318,COMPLETE
1,0.2712136962185677,2026-03-04 11:54:00.295157,2026-03-04 11:55:58.422512,0 days 00:01:58.127355,selu,5000,1,256,0.004289923003616054,3,0.8246732596357293,"[256, 211, 174]",0.2712136962185677,COMPLETE
2,0.2705003309039583,2026-03-04 11:55:58.423965,2026-03-04 11:59:36.659298,0 days 00:03:38.235333,relu,5000,4,64,0.00010727782071330203,4,0.6009705413779362,"[64, 38, 23, 16]",0.2705003309039583,COMPLETE
3,0.28303861840627464,2026-03-04 11:59:36.660847,2026-03-04 12:00:43.121871,0 days 00:01:06.461024,tanh,50000,3,64,0.0030546353840421136,6,0.8562183778914016,"[64, 54, 46, 40, 34, 29]",0.28303861840627464,COMPLETE
4,0.27197524222183606,2026-03-04 12:00:43.123322,2026-03-04 12:01:34.311207,0 days 00:00:51.187885,relu,50000,4,112,0.005884459619693207,4,0.8409580351365226,"[112, 94, 79, 66]",0.27197524222183606,COMPLETE
5,0.2706794426346918,2026-03-04 12:01:34.312824,2026-03-04 12:02:51.255184,0 days 00:01:16.942360,selu,5000,3,160,0.0018192138393488236,3,0.6505009817189452,"[160, 104, 67]",0.2706794426346918,COMPLETE
6,0.2719548347002147,2026-03-04 12:02:51.256675,2026-03-04 12:03:20.830506,0 days 00:00:29.573831,tanh,5000,1,112,0.00857470897367499,3,0.5986143524814198,"[112, 67, 40]",0.2719548347002147,COMPLETE
7,0.2710297636302783,2026-03-04 12:03:20.832122,2026-03-04 12:05:33.131216,0 days 00:02:12.299094,relu,50000,4,80,0.0006166970394263135,5,0.711214089327219,"[80, 56, 40, 28, 20]",0.2710297636302783,COMPLETE
8,0.27115273104671256,2026-03-04 12:05:33.132710,2026-03-04 12:06:44.306732,0 days 00:01:11.174022,relu,10000,2,80,0.0020791227974509374,4,0.6250561191502972,"[80, 50, 31, 19]",0.27115273104671256,COMPLETE
9,0.2830397660895329,2026-03-04 12:06:44.308144,2026-03-04 12:08:23.041157,0 days 00:01:38.733013,tanh,50000,4,128,0.0017809327302469719,5,0.7790939630051824,"[128, 99, 77, 60, 47]",0.2830397660895329,COMPLETE
10,0.2702728675642301,2026-03-04 12:08:23.042734,2026-03-04 12:12:44.804085,0 days 00:04:21.761351,relu,10000,2,208,0.00011365145756946161,4,0.5252947163842467,"[208, 109, 57, 30]",0.2702728675642301,COMPLETE
11,0.27084809376819535,2026-03-04 12:12:44.805770,2026-03-04 12:17:18.943884,0 days 00:04:34.138114,relu,10000,2,240,0.00011771798111497214,4,0.5101879454053525,"[240, 122, 62, 31]",0.27084809376819535,COMPLETE
12,0.2706375416379033,2026-03-04 12:17:18.945383,2026-03-04 12:21:37.912068,0 days 00:04:18.966685,relu,10000,2,208,0.0001065451015967213,4,0.55596573241421,"[208, 115, 64, 35]",0.2706375416379033,COMPLETE
13,0.27113655676292947,2026-03-04 12:21:37.914181,2026-03-04 12:23:41.481564,0 days 00:02:03.567383,relu,10000,2,192,0.0003022329614252645,5,0.6895462342225699,"[192, 132, 91, 62, 43]",0.27113655676292947,COMPLETE
14,0.2702565620263231,2026-03-04 12:23:41.483012,2026-03-04 12:25:58.955371,0 days 00:02:17.472359,relu,5000,3,176,0.00024272823506852533,4,0.5007612380388379,"[176, 88, 44, 22]",0.2702565620263231,COMPLETE
15,0.270764331150792,2026-03-04 12:25:58.956921,2026-03-04 12:28:40.743372,0 days 00:02:41.786451,relu,10000,3,192,0.0002785123473355216,5,0.5135435904221468,"[192, 98, 50, 26, 16]",0.270764331150792,COMPLETE
16,0.27098412143822037,2026-03-04 12:28:40.744834,2026-03-04 12:31:56.975091,0 days 00:03:16.230257,relu,10000,1,160,0.0002356253028261614,3,0.5594060071929096,"[160, 89, 50]",0.27098412143822037,COMPLETE
17,0.27075904298540915,2026-03-04 12:31:56.976589,2026-03-04 12:33:39.840369,0 days 00:01:42.863780,relu,5000,2,224,0.0006208008646032874,4,0.5024455420862106,"[224, 112, 56, 28]",0.27075904298540915,COMPLETE
18,0.28320845422936836,2026-03-04 12:33:39.841763,2026-03-04 12:34:21.018687,0 days 00:00:41.176924,tanh,5000,3,176,0.00018980164485289674,5,0.7549645374790394,"[176, 132, 100, 75, 57]",0.28320845422936836,COMPLETE
19,0.27028807963473744,2026-03-04 12:34:21.021261,2026-03-04 12:37:49.404482,0 days 00:03:28.383221,selu,10000,2,144,0.00047959656596548373,3,0.6508612546961459,"[144, 93, 61]",0.27028807963473744,COMPLETE
20,0.270971448537612,2026-03-04 12:37:49.405913,2026-03-04 12:38:50.750574,0 days 00:01:01.344661,relu,5000,3,224,0.0010183886544538458,4,0.584958290514047,"[224, 131, 76, 44]",0.270971448537612,COMPLETE
21,0.27001471163252755,2026-03-04 12:38:50.752010,2026-03-04 12:42:29.817439,0 days 00:03:39.065429,selu,10000,2,144,0.0005208438133014424,3,0.6826055950639485,"[144, 98, 67]",0.27001471163252755,COMPLETE
22,0.2702791088662868,2026-03-04 12:42:29.818818,2026-03-04 12:47:51.332669,0 days 00:05:21.513851,selu,10000,2,176,0.0004005109217271129,3,0.8945491500576307,"[176, 157, 140]",0.2702791088662868,COMPLETE
23,0.2705873660297639,2026-03-04 12:47:51.334166,2026-03-04 12:51:14.386220,0 days 00:03:23.052054,selu,10000,1,144,0.00016601888760149283,4,0.5371153306734453,"[144, 77, 41, 22]",0.2705873660297639,COMPLETE
24,0.2693900509171178,2026-03-04 12:51:14.387805,2026-03-04 12:55:16.039203,0 days 00:04:01.651398,selu,10000,2,192,0.0009226359286511553,3,0.7133032376882934,"[192, 136, 97]",0.2693900509171178,COMPLETE
